,,,,,,Who do I contact for help?,,
Large Standard,LEARNING RESOURCE CENTER,LRC210,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Small Standard,LEARNING RESOURCE CENTER,LRC210A,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Small Standard,LEARNING RESOURCE CENTER,LRC215,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Small Standard,LEARNING RESOURCE CENTER,LRC219,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Large Standard,LEARNING RESOURCE CENTER,LRC235,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Large Standard,LEARNING RESOURCE CENTER,LRC249,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Small Standard,LISTER HILL LIBRARY,LISTERCHAOS,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,ROTC BUILDING,ROTC120,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Large Standard,ROTC BUILDING,ROTC121,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,ROTC BUILDING,ROTC122,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Medium Standard,RYALS PUBLIC HEALTH BUILDING,RPHB107,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,RYALS PUBLIC HEALTH BUILDING,RPHB121,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,RYALS PUBLIC HEALTH BUILDING,RPHB125,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,RYALS PUBLIC HEALTH BUILDING,RPHB127,,,,AskIT,(205) 996-9999,
Small Standard,RYALS PUBLIC HEALTH BUILDING,RPHB209,,,,AskIT,(205) 996-9999,
Small Standard,RYALS PUBLIC HEALTH BUILDING,RPHB308,,,,AskIT,(205) 996-9999,
Small Standard,RYALS PUBLIC HEALTH BUILDING,RPHB311,,,,AskIT,(205) 996-9999,
Small Standard,RYALS PUBLIC HEALTH BUILDING,RPHB407,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,RYALS PUBLIC HEALTH BUILDING,RPHB417,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,RYALS PUBLIC HEALTH BUILDING,RPHB433,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,RYALS PUBLIC HEALTH BUILDING,RPHB507,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,RYALS PUBLIC HEALTH BUILDING,RPHB510,,,,AskIT,(205) 996-9999,
Medium Standard,SCHOOL OF DENTISTRY,SDB220,,,"Lecture Capture, Wireless Mics, Livestream",School of Dentistry IT,(205) 975-7491,cklw@uab.edu
Medium Standard,SCHOOL OF DENTISTRY,SDB222,,,"Lecture Capture, Wireless Mics, Livestream",School of Dentistry IT,(205) 975-7491,cklw@uab.edu
Medium Standard,SCHOOL OF DENTISTRY,SDB301A,,,"Lecture Capture, Wireless Mics, Livestream",School of Dentistry IT,(205) 975-7491,cklw@uab.edu
Small Standard,SCHOOL OF DENTISTRY,SDB309,,,"Lecture Capture, Wireless Mics, Livestream",School of Dentistry IT,(205) 975-7491,cklw@uab.edu
Small Standard,SCHOOL OF DENTISTRY,SDB401B,,,"Lecture Capture, Wireless Mics, Livestream",School of Dentistry IT,(205) 975-7491,cklw@uab.edu
Medium Standard,SCHOOL OF DENTISTRY,SDB501,,,"Lecture Capture, Wireless Mics, Livestream",School of Dentistry IT,(205) 975-7491,cklw@uab.edu
Small Standard,SCHOOL OF HEALTH PROFESSIONS,SHPB124,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Small Standard,SCHOOL OF HEALTH PROFESSIONS,SHPB125,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Medium Standard,SCHOOL OF HEALTH PROFESSIONS,SHPB224,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Small Standard,SCHOOL OF HEALTH PROFESSIONS,SHPB226,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Small Standard,SCHOOL OF HEALTH PROFESSIONS,SHPB421,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Small Standard,SCHOOL OF HEALTH PROFESSIONS,SHPB541,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Medium Standard,SCHOOL OF HEALTH PROFESSIONS,SHPB640,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Small Standard,SCHOOL OF HEALTH PROFESSIONS,SHPB641A,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Large Standard,SPENCER HONORS HOUSE,HOHHOH,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,STERNE LIBRARY,STERNE163,,,"Lecture Capture, Wireless Mics","UAB Libraries, Bruce Seals, Delores Carlito","(205) 934-4338
(205) 934-8494","bseals@uab.edu
dcarlito@uab.edu"
Small Standard,STERNE LIBRARY,STERNE174,,,"Lecture Capture, Wireless Mics","UAB Libraries, Bruce Seals, Delores Carlito","(205) 934-4338
(205) 934-8494","bseals@uab.edu
dcarlito@uab.edu"
Small Standard,STERNE LIBRARY,STERNE203,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE204,,,,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE205,,,,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE207,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE209,,,,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE211,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE217,,,,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE218,,,,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE219,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE220,,,,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE221,,,,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE222F,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE222G,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE227,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE229,,,,AskIT,(205) 996-9999,
Small Standard,STERNE LIBRARY,STERNE230,,,,AskIT,(205) 996-9999,
Large Standard,UNIVERSITY BOULEVARD OFFICE BLDG,UBOB108,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,UNIVERSITY BOULEVARD OFFICE BLDG,UBOB208,,,Lecture Capture,AskIT,(205) 996-9999,
Small Standard,UNIVERSITY BOULEVARD OFFICE BLDG,UBOB222,,,Lecture Capture,AskIT,(205) 996-9999,
Medium Standard,UNIVERSITY HALL,UH1005,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,UNIVERSITY HALL,UH1007,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,UNIVERSITY HALL,UH1008,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,UNIVERSITY HALL,UH1009,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,UNIVERSITY HALL,UH1011,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,UNIVERSITY HALL,UH2005,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,UNIVERSITY HALL,UH2007,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,UNIVERSITY HALL,UH2009,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,UNIVERSITY HALL,UH2010,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,UNIVERSITY HALL,UH2011,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,UNIVERSITY HALL,UH2012,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,UNIVERSITY HALL,UH2013,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Large Standard,UNIVERSITY HALL,UH2100,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,UNIVERSITY HALL,UH3002,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,UNIVERSITY HALL,UH3005,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,UNIVERSITY HALL,UH3007,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,UNIVERSITY HALL,UH3009,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,UNIVERSITY HALL,UH3010,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,UNIVERSITY HALL,UH3011,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,UNIVERSITY HALL,UH3012,,,"Lecture Capture, Wireless Mics",AskIT,(205) 996-9999,
Small Standard,UNIVERSITY HALL,UH3013,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,UNIVERSITY HALL,UH4002,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,UNIVERSITY HALL,UH4004,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Small Standard,UNIVERSITY HALL,UH5105,,,"Lecture Capture, Wireless Mics",CAS IT,(205) 975-4500,
Large Standard,VOLKER HALL,VH1L103D,,,"Lecture Capture, Wireless Mics",MEIS,(205) 934-6620,meis@uab.edu
Large Standard,VOLKER HALL,VH1L104C,,,"Lecture Capture, Wireless Mics",MEIS,(205) 934-6620,meis@uab.edu
Large Standard,VOLKER HALL,VH1L105B,,,"Lecture Capture, Wireless Mics",MEIS,(205) 934-6620,meis@uab.edu
Small Standard,WEBB BUILDING,WEBB535,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
Small Standard,WEBB BUILDING,WEBB551,,,"Lecture Capture, Wireless Mics",LRC,(205) 934-5146,LRC-LRC@mail.ad.uab.edu
